benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
dacode,dacode/dacode-data-wrangling-099,dacode-data-wrangling-099,0.7746152589401831,0.22538474105981687,14,medium,0.3416665625,0.3380951428571429,0.1717588788729533
hle,hle/hle/hle__66ee158c5db68805b7d3d27b,hle/hle__66ee158c5db68805b7d3d27b,0.7746478873239436,0.22535211267605637,16,frontier,0.0375,0.0375,0.1053268721647044
skillsbench,skillsbench/grid-dispatch-operator,grid-dispatch-operator,0.7747179119096607,0.22528208809033934,16,medium,0.35,0.35,0.3201562118716424
swe-lancer,swe-lancer/48778-manager-0,48778-manager-0,0.7748942513685062,0.2251057486314938,16,medium,0.33125,0.33125,0.4133986423538422
swe-lancer,swe-lancer/25929-manager-0,25929-manager-0,0.7748942513685062,0.2251057486314938,16,hard,0.225,0.225,0.3799671038392666
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__2qdb36cq,oauthlib__oauthlib.1fd52536.combine_file__2qdb36cq,0.7749036293938901,0.22509637060610987,16,medium,0.571875,0.571875,0.4160711890710531
dacode,dacode/dacode-dm-csv-066,dacode-dm-csv-066,0.7752522785984306,0.2247477214015694,14,medium,0.31,0.3228571428571428,0.3313916235562771
dacode,dacode/dacode-di-csv-007,dacode-di-csv-007,0.7752522785984306,0.2247477214015694,14,hard,0.25909075,0.2857141428571428,0.3702916442089662
gpqa-diamond,gpqa-diamond/182,182,0.7753325777803383,0.22466742221966174,16,easy,0.8375,0.8375,0.2471714991660648
gpqa-diamond,gpqa-diamond/117,117,0.7753325777803383,0.22466742221966174,16,easy,0.9375,0.9375,0.1165922381636101
hle,hle/hle/hle__670e9d6f5c8f745d79e8d8d1,hle/hle__670e9d6f5c8f745d79e8d8d1,0.7753900232697155,0.2246099767302845,16,easy,0.9,0.9,0.1732050807568877
gpqa-diamond,gpqa-diamond/162,162,0.7754932192380551,0.22450678076194486,16,medium,0.5625,0.5625,0.3689088640843426
deepsynth,deepsynth/75,75,0.7755116445002768,0.22448835549972324,16,hard,0.2375,0.2375,0.3179524335494226
mmau,mmau/5e801057-97b3-4c4a-b962-8f964ce77bd2,5e801057-97b3-4c4a-b962-8f964ce77bd2,0.7755920696792,0.22440793032079998,16,medium,0.5125,0.5125,0.3998046397929869
algotune,algotune/algotune-cumulative-simpson-1d,algotune-cumulative-simpson-1d,0.7758562222533408,0.22414377774665917,16,hard,0.2131087499999999,0.2131087499999999,0.2472626928656798
hle,hle/hle/hle__6716f035bab94116769c0082,hle/hle__6716f035bab94116769c0082,0.7758942100778182,0.22410578992218178,16,medium,0.4,0.4,0.4743416490252569
dacode,dacode/dacode-di-csv-008,dacode-di-csv-008,0.7759188865995428,0.22408111340045722,14,medium,0.4875000625,0.4857143571428572,0.3504451791404769
bfcl,bfcl/bfcl-live-irrelevance-653-206-2,bfcl-live-irrelevance-653-206-2,0.7759278373958188,0.22407216260418117,16,medium,0.5249999999999999,0.5249999999999999,0.373329613076702
bfcl,bfcl/bfcl-live-irrelevance-615-195-3,bfcl-live-irrelevance-615-195-3,0.7759278373958188,0.22407216260418117,16,medium,0.55,0.55,0.4272001872658765
simpleqa,simpleqa/simpleqa-845,simpleqa-845,0.775964130125025,0.22403586987497504,16,medium,0.5625,0.5625,0.3689088640843426
dacode,dacode/dacode-data-wrangling-010,dacode-data-wrangling-010,0.7759881174214814,0.22401188257851856,14,medium,0.459375,0.4607142857142857,0.3586575024750391
algotune,algotune/algotune-btsp,algotune-btsp,0.776010435527188,0.22398956447281204,16,hard,0.2192159374999999,0.2192159374999999,0.2556375745856986
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-spell-backward-hard0292e21f-seed45-0,reasoning-gym-algorithmic-spell-backward-hard0292e21f-seed45-0,0.7762985584481447,0.22370144155185534,16,easy,0.840625,0.840625,0.2277394001375256
dacode,dacode/dacode-dm-csv-056,dacode-dm-csv-056,0.7764363300032734,0.2235636699967266,14,medium,0.35,0.3714285714285714,0.3917516914514882
gaia,gaia/e9a2c537-8232-4c3f-85b0-b52de6bcba99,e9a2c537-8232-4c3f-85b0-b52de6bcba99,0.7765163665331182,0.22348363346688183,16,easy,0.7625,0.7625,0.3479852726768763
labbench,labbench/figqa-0020,figqa-0020,0.7766359376427229,0.22336406235727713,16,medium,0.3125,0.3125,0.3237958461747154
hle,hle/hle/hle__67235bc3c0ae8158005244a9,hle/hle__67235bc3c0ae8158005244a9,0.7767019329857825,0.2232980670142175,16,medium,0.5375000000000001,0.5375000000000001,0.4226035376094241
seal0,seal0/30,30,0.7769020215688299,0.22309797843117007,16,hard,0.125,0.125,0.1854049621773915
algotune,algotune/algotune-pca,algotune-pca,0.7770599353878965,0.22294006461210347,16,medium,0.4929381249999999,0.4929381249999999,0.2339978440787102
terminal-bench,terminal-bench/overfull-hbox,overfull-hbox,0.7770942804088746,0.22290571959112537,16,medium,0.4375,0.4375,0.375624480032918
mmau,mmau/20cf7678-509c-41fc-9d1c-4a1f000513ee,20cf7678-509c-41fc-9d1c-4a1f000513ee,0.7776510597812538,0.22234894021874618,16,easy,0.775,0.775,0.3152380053229623
spreadsheetbench,spreadsheetbench/51-12,51-12,0.7777460350496356,0.22225396495036442,16,medium,0.4031249999999999,0.4031249999999999,0.4048413076441187
terminal-bench,terminal-bench/torch-tensor-parallelism,torch-tensor-parallelism,0.7778444682625972,0.22215553173740277,16,hard,0.2,0.2,0.291547594742265
terminal-bench,terminal-bench/video-processing,video-processing,0.7778444682625972,0.22215553173740277,16,frontier,0.025,0.025,0.0661437827766147
reasoning-gym,reasoning-gym/reasoning-gym-games-tsumego-easy00cea0a5-seed45-0,reasoning-gym-games-tsumego-easy00cea0a5-seed45-0,0.778013116405352,0.22198688359464802,16,easy,0.7925,0.7925,0.2820793328125973
featurebench-modal,featurebench-modal/mlflow__mlflow.93dab383.test_genai_eval_utils.2d5441f2.lv1,mlflow__mlflow.93dab383.test_genai_eval_utils.2d5441f2.lv1,0.7781190959104827,0.22188090408951733,16,hard,0.2375,0.2375,0.3099899191909311
scicode,scicode/scicode-44,scicode-44,0.778765402911129,0.22123459708887105,16,hard,0.2552083125,0.2552083125,0.2489365880497277
swe-lancer,swe-lancer/25550-manager-0,25550-manager-0,0.7788431816798396,0.22115681832016043,16,easy,0.925,0.925,0.1198957880828179
swebenchpro,swebenchpro/instance_flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,instance_flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,0.7789168319621728,0.22108316803782724,16,hard,0.2625,0.2625,0.4284784125250652
aime,aime/aime_67,aime_67,0.7789240586062486,0.22107594139375142,16,easy,0.95,0.95,0.1118033988749894
reasoning-gym,reasoning-gym/reasoning-gym-logic-aiw-easy00cea0a5-seed45-0,reasoning-gym-logic-aiw-easy00cea0a5-seed45-0,0.77899806720015,0.22100193279985003,16,medium,0.6625,0.6625,0.3443744328488978
spreadsheetbench,spreadsheetbench/15387,15387,0.7790518685032246,0.2209481314967754,16,hard,0.175,0.175,0.2331844763272203
reasoning-gym,reasoning-gym/reasoning-gym-cognition-rectangle-count-hard0292e21f-seed45-2,reasoning-gym-cognition-rectangle-count-hard0292e21f-seed45-2,0.7791233208388514,0.22087667916114861,16,medium,0.3415,0.3415,0.3741520412880303
reasoning-gym,reasoning-gym/reasoning-gym-cognition-rectangle-count-easy00cea0a5-seed45-2,reasoning-gym-cognition-rectangle-count-easy00cea0a5-seed45-2,0.7791233208388514,0.22087667916114861,16,medium,0.355,0.355,0.3029306851410072
reasoning-gym,reasoning-gym/reasoning-gym-arc-arc-1d-easy00cea0a5-seed45-1,reasoning-gym-arc-arc-1d-easy00cea0a5-seed45-1,0.7791336881306982,0.22086631186930183,16,medium,0.634375,0.634375,0.3385256406463179
reasoning-gym,reasoning-gym/reasoning-gym-logic-circuit-logic-easy00cea0a5-seed45-0,reasoning-gym-logic-circuit-logic-easy00cea0a5-seed45-0,0.7793630981080423,0.22063690189195773,16,easy,0.775,0.775,0.2537222891273055
usaco,usaco/866,866,0.7795066592172408,0.22049334078275917,16,hard,0.1875,0.1875,0.2955397604384222
strongreject,strongreject/strongreject_non-violent_crimes_0042_pap_logical_appeal,strongreject_non-violent_crimes_0042_pap_logical_appeal,0.7795625603336359,0.2204374396663641,16,medium,0.54296875,0.54296875,0.3460637684530663
bigcodebench,bigcodebench/bigcodebench_211,bigcodebench_211,0.7795787947596416,0.22042120524035835,16,medium,0.5,0.5,0.412310562561766
bfcl,bfcl/bfcl-simple-javascript-42,bfcl-simple-javascript-42,0.7796126351980307,0.2203873648019693,16,easy,0.8125,0.8125,0.3637908052713812
bfcl,bfcl/bfcl-simple-javascript-7,bfcl-simple-javascript-7,0.7796126351980307,0.2203873648019693,16,easy,0.8374999999999999,0.8374999999999999,0.3333072906493346
crmarena,crmarena/crmarena_0547_named_entity_disambiguation,crmarena_0547_named_entity_disambiguation,0.7796190090672735,0.22038099093272645,16,medium,0.5875,0.5875,0.3276335605520289
algotune,algotune/algotune-ks-test-2samp,algotune-ks-test-2samp,0.7797468849391594,0.22025311506084055,16,hard,0.0505236875,0.0505236875,0.1234572992074176
hle,hle/hle/hle__671a246d8479d8185c4d4435,hle/hle__671a246d8479d8185c4d4435,0.7797478260481755,0.2202521739518245,16,medium,0.45,0.45,0.35
labbench,labbench/figqa-0079,figqa-0079,0.7798008629902393,0.22019913700976068,16,hard,0.2624999999999999,0.2624999999999999,0.3139964171770117
reasoning-gym,reasoning-gym/reasoning-gym-cognition-number-sequence-easy00cea0a5-seed45-2,reasoning-gym-cognition-number-sequence-easy00cea0a5-seed45-2,0.779872338854794,0.220127661145206,16,easy,0.8125,0.8125,0.3199120973017432
simpleqa,simpleqa/simpleqa-1653,simpleqa-1653,0.7802130942741373,0.21978690572586268,16,medium,0.475,0.475,0.3230711995830022
algotune,algotune/algotune-markowitz,algotune-markowitz,0.7806147843098485,0.21938521569015146,16,medium,0.3181130625,0.3181130625,0.308673026589721
ineqmath,ineqmath/69,69,0.7806991870108033,0.21930081298919668,16,easy,0.8375,0.8375,0.2027159342528357
dacode,dacode/dacode-plot-pie-012,dacode-plot-pie-012,0.7807910839852713,0.2192089160147287,14,medium,0.375,0.3999999999999999,0.420883424647321
dacode,dacode/dacode-plot-line-021,dacode-plot-line-021,0.7807910839852713,0.2192089160147287,14,medium,0.375,0.3857142857142857,0.3738929236657828
deepsynth,deepsynth/49,49,0.7810397141003562,0.21896028589964378,16,hard,0.13,0.13,0.186815416922694
deepsynth,deepsynth/53,53,0.7810397141003562,0.21896028589964378,16,hard,0.0875,0.0875,0.1996089927833914
kumo,kumo/astronomyenv-t4-a6-v1-s0,astronomyenv-t4-a6-v1-s0,0.7810787627463986,0.21892123725360135,16,saturated,0.975,0.975,0.0661437827766147
widesearch,widesearch/widesearch/widesearch-ws-zh-049,widesearch/widesearch-ws-zh-049,0.7812541671882187,0.21874583281178128,16,medium,0.55353775,0.55353775,0.2300697782767491
aider-polyglot,aider-polyglot/polyglot_go_paasio,polyglot_go_paasio,0.7814243197311412,0.21857568026885876,16,hard,0.175,0.175,0.338193731461717
skillsbench,skillsbench/earthquake-phase-association,earthquake-phase-association,0.7815118829116018,0.21848811708839821,16,medium,0.3875,0.3875,0.3838538133196022
widesearch,widesearch/widesearch/widesearch-ws-en-051,widesearch/widesearch-ws-en-051,0.7815233374419236,0.2184766625580764,16,hard,0.12813625,0.12813625,0.1547306038613967
hle,hle/hle/hle__670944a7da01179cfbd24ef8,hle/hle__670944a7da01179cfbd24ef8,0.7817236956185898,0.2182763043814102,16,medium,0.3875,0.3875,0.3772847068196642
seal0,seal0/6,6,0.7817731967375678,0.21822680326243216,16,hard,0.115625,0.115625,0.213394258064738
bigcodebench,bigcodebench/bigcodebench_897,bigcodebench_897,0.781817068122092,0.21818293187790805,16,easy,0.8125,0.8125,0.2287875652215391
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-word-ladder-easy00cea0a5-seed45-2,reasoning-gym-algorithmic-word-ladder-easy00cea0a5-seed45-2,0.7818957892932002,0.21810421070679975,16,medium,0.3814453124999999,0.3814453124999999,0.2549856114535482
dacode,dacode/dacode-ml-competition-013,dacode-ml-competition-013,0.7819619494752077,0.2180380505247923,14,medium,0.49535425,0.4948151428571428,0.3003113783800923
dacode,dacode/dacode-data-wrangling-060,dacode-data-wrangling-060,0.7819619494752077,0.2180380505247923,14,hard,0.225,0.2285714285714286,0.2813959371941744
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-group-anagrams-hard0292e21f-seed45-1,reasoning-gym-algorithmic-group-anagrams-hard0292e21f-seed45-1,0.7820356967049795,0.21796430329502048,16,medium,0.57925,0.57925,0.395328265495904
aime,aime/aime_77,aime_77,0.7820808688600517,0.21791913113994832,16,saturated,0.975,0.975,0.0661437827766147
swebench-verified,swebench-verified/scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14983,0.7823314533825123,0.2176685466174877,16,medium,0.6125,0.6125,0.3637908052713812
qcircuitbench,qcircuitbench/phase_estimation-n8,phase_estimation-n8,0.782750095617155,0.21724990438284497,16,medium,0.3332143125,0.3332143125,0.3827637283509108
omnimath,omnimath/omnimath_4076,omnimath_4076,0.7831133910418318,0.21688660895816825,16,easy,0.7999999999999999,0.7999999999999999,0.3162277660168379
algotune,algotune/algotune-robust-kalman-filter,algotune-robust-kalman-filter,0.7832679376859744,0.21673206231402564,16,medium,0.32998825,0.32998825,0.2968144014659034
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-word-ladder-hard0292e21f-seed45-2,reasoning-gym-algorithmic-word-ladder-hard0292e21f-seed45-2,0.7833850342662659,0.21661496573373407,16,medium,0.3375,0.3375,0.3184434800714249
crmarena,crmarena/crmarena_0241_monthly_trend_analysis,crmarena_0241_monthly_trend_analysis,0.7833994826664602,0.2166005173335398,16,hard,0.2749999999999999,0.2749999999999999,0.3152380053229623
deepsynth,deepsynth/30,30,0.7835640574439041,0.21643594255609588,16,easy,0.7375,0.7375,0.3295356581616017
omnimath,omnimath/omnimath_3564,omnimath_3564,0.7836781045054945,0.21632189549450553,16,easy,0.8375,0.8375,0.2027159342528356
omnimath,omnimath/omnimath_146,omnimath_146,0.7836781045054945,0.21632189549450553,16,medium,0.4875,0.4875,0.4357106264483343
terminal-bench,terminal-bench/regex-chess,regex-chess,0.7837057626909333,0.21629423730906672,16,hard,0.1375,0.1375,0.2712816801776338
terminal-bench,terminal-bench/torch-pipeline-parallelism,torch-pipeline-parallelism,0.7837057626909333,0.21629423730906672,16,frontier,0.025,0.025,0.0661437827766147
pixiu,pixiu/pixiu-smbigdata-bigdatasm5708,pixiu-smbigdata-bigdatasm5708,0.7837572481180386,0.2162427518819614,16,medium,0.375,0.375,0.44087980221371
bfcl,bfcl/bfcl-live-irrelevance-642-203-2,bfcl-live-irrelevance-642-203-2,0.7837696203485061,0.21623037965149394,16,hard,0.2875,0.2875,0.3314268395890713
dacode,dacode/dacode-ml-competition-018,dacode-ml-competition-018,0.7838589374827069,0.21614106251729315,14,hard,0.22703725,0.2312458571428571,0.2080989863481378
dacode,dacode/dacode-data-wrangling-088,dacode-data-wrangling-088,0.7838589374827069,0.21614106251729315,14,medium,0.396875,0.4035714285714285,0.3067480851694139
hle,hle/hle/hle__66fee6c39e4f456a6d2941b5,hle/hle__66fee6c39e4f456a6d2941b5,0.7839791976214946,0.2160208023785054,16,medium,0.3625,0.3625,0.3822221212855164
gaia,gaia/1dcc160f-c187-48c2-b68e-319bd4354f3d,1dcc160f-c187-48c2-b68e-319bd4354f3d,0.7840642495767354,0.21593575042326463,16,medium,0.325,0.325,0.3307189138830738
gaia,gaia/0e9e85b8-52b9-4de4-b402-5f635ab9631f,0e9e85b8-52b9-4de4-b402-5f635ab9631f,0.7840642495767354,0.21593575042326463,16,medium,0.3125,0.3125,0.3603383826349893
gaia,gaia/9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,0.7841127047987149,0.21588729520128513,16,medium,0.4875,0.4875,0.4299345880479959
scicode,scicode/scicode-56,scicode-56,0.7842603014006753,0.21573969859932474,16,easy,0.75078125,0.75078125,0.3224802788907214
crmarena,crmarena/crmarena_0045_knowledge_qa,crmarena_0045_knowledge_qa,0.7843957156167856,0.21560428438321444,16,hard,0.2337251249999999,0.2337251249999999,0.1710621879474227
terminal-bench,terminal-bench/openssl-selfsigned-cert,openssl-selfsigned-cert,0.7846715615207803,0.21532843847921967,16,easy,0.8,0.8,0.282842712474619
crmarena,crmarena/crmarena_0166_monthly_trend_analysis,crmarena_0166_monthly_trend_analysis,0.7848596819089176,0.21514031809108236,16,hard,0.1875,0.1875,0.179843682124227
replicationbench,replicationbench/muse_outflows__voronoi_binning_for_emission_lines_j080427,muse_outflows__voronoi_binning_for_emission_lines_j080427,0.7851444098157774,0.21485559018422262,16,hard,0.225,0.225,0.3152380053229622
pixiu,pixiu/pixiu-german-german000013,pixiu-german-german000013,0.785161012248147,0.21483898775185295,15,easy,0.7791666875000001,0.7644444666666668,0.3345459360217202
simpleqa,simpleqa/simpleqa-2838,simpleqa-2838,0.7853554716071041,0.21464452839289594,16,easy,0.95,0.95,0.1118033988749894
simpleqa,simpleqa/simpleqa-975,simpleqa-975,0.7853554716071041,0.21464452839289594,16,easy,0.725,0.725,0.2989565185775349
pixiu,pixiu/pixiu-smbigdata-bigdatasm5705,pixiu-smbigdata-bigdatasm5705,0.7855367500055214,0.21446324999447863,14,easy,0.8541666875,0.8333333571428572,0.2881247387493348
pixiu,pixiu/pixiu-fiqasa-fiqasa943,pixiu-fiqasa-fiqasa943,0.7855367500055214,0.21446324999447863,16,easy,0.8072916875,0.8072916875,0.2536517038164042
seal0,seal0/29,29,0.785553319064987,0.21444668093501296,16,frontier,0.025,0.025,0.0968245836551854
seal0,seal0/76,76,0.785553319064987,0.21444668093501296,16,hard,0.0875,0.0875,0.2341874249399399
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-palindrome-generation-hard0292e21f-seed45-2,reasoning-gym-algorithmic-palindrome-generation-hard0292e21f-seed45-2,0.7856625308011971,0.21433746919880292,16,easy,0.7259375,0.7259375,0.3553052329951671
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-string-manipulation-easy00cea0a5-seed45-2,reasoning-gym-algorithmic-string-manipulation-easy00cea0a5-seed45-2,0.7856625308011971,0.21433746919880292,16,easy,0.73125,0.73125,0.3096747285459373
gpqa-diamond,gpqa-diamond/42,42,0.7859825726552916,0.2140174273447084,16,medium,0.5375,0.5375,0.3655047879303361
gso,gso/gso-pandas-dev--pandas-609c3b7,gso-pandas-dev--pandas-609c3b7,0.7864561805867952,0.21354381941320477,16,hard,0.25,0.25,0.2783882181415011
algotune,algotune/algotune-sylvester-solver,algotune-sylvester-solver,0.7865173832869843,0.21348261671301572,16,hard,0.0665319375,0.0665319375,0.1065480377350216
gaia2,gaia2/gaia2-cli/0282_9pt8o7c7tpicesk017huup6gu680nppx,gaia2-cli/0282_9pt8o7c7tpicesk017huup6gu680nppx,0.786583403265285,0.21341659673471503,16,hard,0.05,0.05,0.15
omnimath,omnimath/omnimath_1636,omnimath_1636,0.7867957924694426,0.21320420753055735,16,saturated,0.975,0.975,0.0661437827766147
gso,gso/gso-pydantic--pydantic-addf1f9,gso-pydantic--pydantic-addf1f9,0.7867957924694426,0.21320420753055735,16,frontier,0.025,0.025,0.0661437827766147
gso,gso/gso-numpy--numpy-ba89ef9,gso-numpy--numpy-ba89ef9,0.7867957924694426,0.21320420753055735,16,hard,0.075,0.075,0.1561249499599599
humanevalfix,humanevalfix/python-130,python-130,0.7867957924694428,0.21320420753055724,16,saturated,0.9625,0.9625,0.0780624749799799
omnimath,omnimath/omnimath_1089,omnimath_1089,0.7867957924694428,0.21320420753055724,16,saturated,0.975,0.975,0.0661437827766147
replicationbench,replicationbench/eht_resolve__eht_ring_size,eht_resolve__eht_ring_size,0.7867957924694431,0.2132042075305569,16,frontier,0.0375,0.0375,0.0780624749799799
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-base-conversion-hard0292e21f-seed45-0,reasoning-gym-algorithmic-base-conversion-hard0292e21f-seed45-0,0.7867957924694431,0.2132042075305569,16,saturated,0.9625,0.9625,0.0780624749799799
replicationbench,replicationbench/galaxy_soptics__fof_optimization_sdss,galaxy_soptics__fof_optimization_sdss,0.7867957924694431,0.2132042075305569,16,frontier,0.025,0.025,0.0661437827766147
omnimath,omnimath/omnimath_1884,omnimath_1884,0.7867957924694433,0.2132042075305567,16,saturated,0.9625,0.9625,0.0780624749799799
dacode,dacode/dacode-ml-binary-003,dacode-ml-binary-003,0.7870504131865728,0.21294958681342724,14,hard,0.0920643125,0.1052163571428571,0.1536510360662419
dacode,dacode/dacode-di-text-039,dacode-di-text-039,0.7870504131865728,0.21294958681342724,14,frontier,0.025,0.0285714285714285,0.0699854212223765
spreadsheetbench,spreadsheetbench/73-45,73-45,0.7870876487239828,0.21291235127601715,16,medium,0.7,0.7,0.3674234614174767
featurebench-modal,featurebench-modal/linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,0.7871484156659129,0.21285158433408713,16,medium,0.5,0.5,0.4
gso,gso/gso-uploadcare--pillow-simd-b4045cf,gso-uploadcare--pillow-simd-b4045cf,0.7877771130750216,0.21222288692497837,16,hard,0.1,0.1,0.2121320343559642
hle,hle/hle/hle__673e66f59f77eeca0292a3b8,hle/hle__673e66f59f77eeca0292a3b8,0.7878542647815041,0.2121457352184959,16,easy,0.75,0.75,0.3122498999199199
swebench-verified,swebench-verified/django__django-16560,django__django-16560,0.7879477634999257,0.21205223650007432,16,hard,0.25,0.25,0.2958039891549808
algotune,algotune/algotune-matrix-multiplication,algotune-matrix-multiplication,0.7881926430602938,0.2118073569397062,16,frontier,0.0200503125,0.0200503125,0.0762074135220113
scicode,scicode/scicode-60,scicode-60,0.7882798142531464,0.21172018574685358,16,hard,0.29,0.29,0.2531797780234432
swebenchpro,swebenchpro/instance_tutao__tutanota-fe240cbf7f0fdd6744ef7bef8cb61676bcdbb621-vc4e41fd0029957297843cb9dec4a25c7c756f029,instance_tutao__tutanota-fe240cbf7f0fdd6744ef7bef8cb61676bcdbb621-vc4e41fd0029957297843cb9dec4a25c7c756f029,0.788606187975649,0.21139381202435104,16,medium,0.6125,0.6125,0.3903123748998999
bigcodebench,bigcodebench/bigcodebench_1008,bigcodebench_1008,0.788606187975649,0.21139381202435104,16,medium,0.5875,0.5875,0.3903123748998999
bigcodebench,bigcodebench/bigcodebench_486,bigcodebench_486,0.7886615664729141,0.21133843352708592,16,hard,0.2,0.2,0.2449489742783178
swesmith,swesmith/oauthlib__oauthlib.1fd52536.combine_file__j5ao7pwe,oauthlib__oauthlib.1fd52536.combine_file__j5ao7pwe,0.7886802089860324,0.21131979101396758,16,hard,0.2625,0.2625,0.3443744328488978
hle,hle/hle/hle__66e97fd756455f341c7849c3,hle/hle__66e97fd756455f341c7849c3,0.7886967046911132,0.2113032953088868,16,medium,0.6625000000000001,0.6625000000000001,0.3515590277606308
dacode,dacode/dacode-data-sa-064,dacode-data-sa-064,0.7888106377466153,0.2111893622533847,14,hard,0.15,0.1714285714285714,0.3103651568914347
dacode,dacode/dacode-dm-csv-004,dacode-dm-csv-004,0.7889336522719216,0.21106634772807842,14,medium,0.5718750000000001,0.5750000000000001,0.2373589806901894
omnimath,omnimath/omnimath_3946,omnimath_3946,0.7890763647670372,0.21092363523296276,16,easy,0.8875,0.8875,0.1576190026614811
aider-polyglot,aider-polyglot/polyglot_cpp_circular-buffer,polyglot_cpp_circular-buffer,0.7893899841695962,0.21061001583040384,16,medium,0.3375,0.3375,0.3919103851647721
reasoning-gym,reasoning-gym/reasoning-gym-geometry-advanced-geometry-easy00cea0a5-seed45-1,reasoning-gym-geometry-advanced-geometry-easy00cea0a5-seed45-1,0.7895631686118141,0.21043683138818592,16,easy,0.8605,0.8605,0.1830321010096316
gaia,gaia/7a4a336d-dcfa-45a0-b014-824c7619e8de,7a4a336d-dcfa-45a0-b014-824c7619e8de,0.7897471897389847,0.21025281026101528,16,hard,0.125,0.125,0.2633913438213184
gpqa-diamond,gpqa-diamond/147,147,0.789793112055709,0.210206887944291,16,medium,0.3125,0.3125,0.338886042793149
gpqa-diamond,gpqa-diamond/130,130,0.789793112055709,0.210206887944291,16,hard,0.2875,0.2875,0.3461845606031557
bigcodebench,bigcodebench/bigcodebench_310,bigcodebench_310,0.7898222352484432,0.2101777647515568,16,medium,0.5750000000000001,0.5750000000000001,0.3929058411375427
skillsbench,skillsbench/offer-letter-generator,offer-letter-generator,0.7902140931216505,0.20978590687834953,16,medium,0.525,0.525,0.4293891009329417
omnimath,omnimath/omnimath_698,omnimath_698,0.7902222465352919,0.20977775346470806,16,easy,0.8375,0.8375,0.2570870475150391
terminal-bench,terminal-bench/qemu-alpine-ssh,qemu-alpine-ssh,0.7902794022094932,0.20972059779050678,16,medium,0.35,0.35,0.3708099243547831
algotune,algotune/algotune-kalman-filter,algotune-kalman-filter,0.7903193600738365,0.20968063992616348,16,medium,0.4804029374999999,0.4804029374999999,0.3312245018541934
gaia,gaia/ebbc1f13-d24d-40df-9068-adcf735b4240,ebbc1f13-d24d-40df-9068-adcf735b4240,0.7905692012592137,0.2094307987407863,16,medium,0.3375,0.3375,0.2521780125229002
aider-polyglot,aider-polyglot/polyglot_go_markdown,polyglot_go_markdown,0.7905860829965786,0.20941391700342138,16,easy,0.8125,0.8125,0.2869560070812249
pixiu,pixiu/pixiu-fiqasa-fiqasa947,pixiu-fiqasa-fiqasa947,0.7906888028801069,0.2093111971198931,16,easy,0.7333333125,0.7333333125,0.408248310876285
bixbench,bixbench/bix-4-q3,bix-4-q3,0.7907481464018911,0.20925185359810894,16,hard,0.0999999999999999,0.0999999999999999,0.187082869338697
gaia,gaia/48eb8242-1099-4c26-95d4-ef22b002457a,48eb8242-1099-4c26-95d4-ef22b002457a,0.7909057560124447,0.20909424398755527,16,hard,0.075,0.075,0.171391365010026
livecodebench,livecodebench/abc343_a,abc343_a,0.7909769903752799,0.2090230096247201,16,hard,0.225,0.225,0.3307189138830738
algotune,algotune/algotune-spectral-clustering,algotune-spectral-clustering,0.7909785987775252,0.2090214012224748,16,medium,0.398912125,0.398912125,0.2340538666880113
dacode,dacode/dacode-ml-binary-023,dacode-ml-binary-023,0.7910452086324631,0.20895479136753692,14,medium,0.4441346874999999,0.4444067142857143,0.2627343579909532
aider-polyglot,aider-polyglot/polyglot_go_ledger,polyglot_go_ledger,0.791114447450884,0.208885552549116,16,medium,0.5875,0.5875,0.3497767144908306
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-sentence-reordering-easy00cea0a5-seed45-2,reasoning-gym-algorithmic-sentence-reordering-easy00cea0a5-seed45-2,0.7911322928486376,0.20886770715136238,15,hard,0.204853,0.2045098666666666,0.123307241144423
reasoning-gym,reasoning-gym/reasoning-gym-algorithmic-ab-easy00cea0a5-seed45-2,reasoning-gym-algorithmic-ab-easy00cea0a5-seed45-2,0.7911322928486376,0.20886770715136238,16,easy,0.7875,0.7875,0.2175861898191151
livecodebench,livecodebench/abc384_f,abc384_f,0.7914376958255318,0.2085623041744682,16,easy,0.85,0.85,0.229128784747792
skillsbench,skillsbench/syzkaller-ppdev-syzlang,syzkaller-ppdev-syzlang,0.791502774543815,0.208497225456185,16,hard,0.275,0.275,0.359687364248454
