selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
74,representative_base,base_representative,gaia,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,gaia/ed58682d-bc52-4baa-9eb0-4eb81e1edacc,base_representative,0.6195179502026635,0.6795179502026636,medium,0.35,0.9936305732484076,0.18789808917197454,0.9151515151515152,16,0.65,0.65,0.4153311931459037,0.0310836802035923,0.3760633857376736,0.0611689113303312,2.0,129.0,29.0,True,False,False,False,False
75,representative_base,base_representative;high_composite,deepsynth,13,deepsynth/13,base_representative;high_composite,0.6175297723214286,0.6775297723214286,medium,0.39583337500000004,0.9714285714285714,0.11428571428571428,1.0,16,0.604166625,0.604166625,0.4317076561137575,0.3613446161715638,0.3805595731964509,0.06036975982546611,2.0,32.0,6.0,True,False,False,False,True
76,representative_base,base_representative,swesmith,oauthlib__oauthlib.1fd52536.combine_file__cw8yqgmm,swesmith/oauthlib__oauthlib.1fd52536.combine_file__cw8yqgmm,base_representative,0.6175237341772152,0.6775237341772151,medium,0.36250000000000004,1.0,0.10759493670886076,1.0,16,0.6375,0.6375,0.4539754949333719,0.1350784886822008,0.33701012691009297,0.029063572130910598,1.0,71.0,30.0,True,False,False,False,False
77,representative_base,base_representative;high_composite,sldbench,vocab_scaling_law,sldbench/vocab_scaling_law,base_representative;high_composite,0.613895953125,0.673895953125,easy,0.2680838125,1.0,0.1875,1.0,16,0.7319161875,0.7319161875,0.3441735893619342,-0.189903697514869,0.2902147153517548,0.07924439890847879,1.0,8.0,1.0,True,False,False,False,True
78,representative_base,base_representative;high_composite,spreadsheetbench,263-1,spreadsheetbench/263-1,base_representative;high_composite,0.6136666666666666,0.6736666666666666,easy,0.25,0.9948717948717949,0.25384615384615383,0.93,16,0.75,0.75,0.4330127018922193,-0.149070986962858,0.36544724338753387,0.02286016359632259,2.0,146.0,23.0,True,False,False,False,True
79,representative_base,base_representative,terminal-bench,sqlite-db-truncate,terminal-bench/sqlite-db-truncate,base_representative,0.6134412650602409,0.6734412650602408,medium,0.38749999999999996,1.0,0.06626506024096386,1.0,16,0.6125,0.6125,0.4768057780690163,0.3316799330838422,0.40617633014124305,0.027128295686293935,1.0,79.0,18.0,True,False,False,False,False
80,representative_base,base_representative,omnimath,omnimath_3346,omnimath/omnimath_3346,base_representative,0.6119412251655628,0.6719412251655628,medium,0.38749999999999996,0.9933774834437086,0.0695364238410596,1.0,16,0.6125,0.6125,0.4498263553861645,0.3515732102692858,0.376424023497271,0.02494324806167525,2.0,142.0,33.0,True,False,False,False,False
81,representative_base,base_representative,pixiu,pixiu-german-german000012,pixiu/pixiu-german-german000012,base_representative,0.6098263096438618,0.6698263096438617,easy,0.25,0.9879518072289156,0.25903614457831325,0.9118942731277533,15,0.75,0.7333333333333333,0.3910100879630715,0.2353026452385088,0.30298691566720937,0.05313465728457345,2.0,63.0,23.0,True,False,False,False,False
82,representative_base,base_representative,widesearch,widesearch/widesearch-ws-zh-018,widesearch/widesearch/widesearch-ws-zh-018,base_representative,0.609433828125,0.6694338281250001,medium,0.3557353125,0.99,0.15,0.91,16,0.6442646875,0.6442646875,0.3388630254525268,-0.0731592659719486,0.31835728689671616,0.05494792225808098,2.0,86.0,17.0,True,False,False,False,False
83,representative_base,base_representative,deepsynth,69,deepsynth/69,base_representative,0.6048809575892857,0.6648809575892858,medium,0.3916666875,1.0,0.04285714285714286,0.975,16,0.6083333125,0.6083333125,0.4313254704493346,0.3641590494964676,0.3972285638181806,0.033890034784260226,1.0,34.0,8.0,True,False,False,False,False
84,representative_base,base_representative;high_composite,quixbugs,quixbugs-python-next_permutation,quixbugs/quixbugs-python-next_permutation,base_representative;high_composite,0.603125,0.663125,easy,0.17500000000000004,1.0,0.3125,0.875,16,0.825,0.825,0.3665719574653795,-0.1232629007534108,0.3388591481435419,0.012816404252992686,1.0,56.0,12.0,True,False,False,False,True
85,representative_base,base_representative;high_composite,financeagent_terminal,financeagent-40,financeagent_terminal/financeagent-40,base_representative;high_composite,0.6026041666666666,0.6626041666666667,medium,0.32499999999999996,0.9791666666666666,0.11458333333333333,1.0,16,0.675,0.675,0.4408798022137099,0.3953103094258736,0.3984031657601911,0.032474179647675294,2.0,44.0,4.0,True,False,False,False,True
86,representative_base,base_representative,dacode,dacode-ml-regression-017,dacode/dacode-ml-regression-017,base_representative,0.5954753134796238,0.6554753134796238,easy,0.2250000000000001,0.9968652037617555,0.19278996865203762,0.9475,14,0.7749999999999999,0.7428571428571428,0.4030495994190252,-0.1503132793300005,0.3618598598379457,0.01736652598674915,2.0,258.0,69.0,True,False,False,False,False
87,representative_base,base_representative,swebench-verified,scikit-learn__scikit-learn-9288,swebench-verified/scikit-learn__scikit-learn-9288,base_representative,0.5943400537634409,0.654340053763441,easy,0.2875000000000001,0.989247311827957,0.15591397849462366,0.915,16,0.7124999999999999,0.7124999999999999,0.4181432170919433,-0.0540301180404696,0.37929058993199,0.0247330823043741,2.0,79.0,19.0,True,False,False,False,False
88,representative_base,base_representative,compilebench,curl-ssl-arm64-static2,compilebench/curl-ssl-arm64-static2,base_representative,0.593125,0.653125,medium,0.3125,0.9333333333333333,0.23333333333333334,0.8666666666666667,16,0.6875,0.6875,0.3805834336909582,0.0593627606426878,0.3404062024068022,0.050347485004941905,2.0,13.0,4.0,True,False,False,False,False
89,representative_base,base_representative,dacode,dacode-dm-csv-054,dacode/dacode-dm-csv-054,base_representative,0.5928007445141066,0.6528007445141066,easy,0.21250000000000002,1.0,0.18495297805642633,0.95625,14,0.7875,0.7571428571428571,0.4083315979416129,-0.1405724951996508,0.3743717321930653,0.015129742293494175,1.0,261.0,72.0,True,False,False,False,False
90,representative_base,base_representative,terminal-bench,reshard-c4-data,terminal-bench/reshard-c4-data,base_representative,0.5899828245566535,0.6499828245566535,medium,0.3374999999999999,0.9879518072289156,0.06626506024096386,0.9550561797752809,16,0.6625000000000001,0.6625000000000001,0.4456385867493971,0.1520902813209886,0.39152299560937615,0.027128295686293935,2.0,78.0,25.0,True,False,False,False,False
91,representative_base,base_representative,swtbench,sympy__sympy-17630,swtbench/sympy__sympy-17630,base_representative,0.5871947330994898,0.6471947330994898,medium,0.3541666875,1.0,0.030612244897959183,0.94,15,0.6458333125,0.6355555333333334,0.4173047127803003,-0.0980410087254614,0.37761717835633957,0.059784541610111264,1.0,49.0,10.0,True,False,False,False,False
92,representative_base,base_representative;high_composite,medagentbench,task1_28,medagentbench/task1_28,base_representative;high_composite,0.5858442028985508,0.6458442028985507,easy,0.275,0.9855072463768116,0.16666666666666666,0.87,16,0.725,0.725,0.3455068740271313,-0.2055085800055257,0.3213245540238822,0.03981012432057618,2.0,59.0,12.0,True,False,False,False,True
93,representative_base,base_representative,bixbench,bix-12-q5,bixbench/bix-12-q5,base_representative,0.5823365384615384,0.6423365384615385,easy,0.2875000000000001,0.9743589743589743,0.08974358974358974,0.98,16,0.7124999999999999,0.7124999999999999,0.4121210380458634,0.1957853025592327,0.3507811864162191,0.06838868179625301,2.0,36.0,14.0,True,False,False,False,False
94,representative_base,base_representative,mmau,6aee68bf-6629-442b-981d-ae8195597c8e,mmau/6aee68bf-6629-442b-981d-ae8195597c8e,base_representative,0.5816847826086957,0.6416847826086958,easy,0.125,1.0,0.3967391304347826,0.675,16,0.875,0.875,0.3307189138830738,0.6831302034520711,0.2523237578082032,0.06799296675592559,1.0,57.0,20.0,True,False,False,False,False
95,representative_base,base_representative,swebenchpro,instance_qutebrowser__qutebrowser-c09e1439f145c66ee3af574386e277dd2388d094-v2ef375ac784985212b1805e1d0431dc8f1b3c171,swebenchpro/instance_qutebrowser__qutebrowser-c09e1439f145c66ee3af574386e277dd2388d094-v2ef375ac784985212b1805e1d0431dc8f1b3c171,base_representative,0.578125,0.638125,medium,0.3125,0.9857142857142858,0.05,0.95,16,0.6875,0.6875,0.4240798863421843,-0.1902638326490361,0.4073218578643835,0.021636889723926078,2.0,68.0,18.0,True,False,False,False,False
96,representative_base,base_representative,aime,aime_i-12,aime/aime_i-12,base_representative,0.576002358490566,0.6360023584905661,easy,0.21250000000000002,1.0,0.14150943396226415,0.9166666666666666,16,0.7875,0.7875,0.3497767144908306,-0.1568635759174577,0.304693158851108,0.019922213071340344,1.0,47.0,12.0,True,False,False,False,False
97,representative_base,base_representative,swebenchpro,instance_navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89,swebenchpro/instance_navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89,base_representative,0.5651071428571428,0.6251071428571429,easy,0.275,1.0,0.02142857142857143,0.94,16,0.725,0.725,0.4235268586524354,-0.167650769961752,0.4113479670978978,0.016684977604325635,1.0,70.0,24.0,True,False,False,False,False
98,representative_base,base_representative,bfcl,bfcl-live-multiple-404-140-0,bfcl/bfcl-live-multiple-404-140-0,base_representative,0.5605945121951219,0.620594512195122,easy,0.13749999999999996,0.9901960784313726,0.3137254901960784,0.6747967479674797,16,0.8625,0.8625,0.261904085496962,-0.1355545664870551,0.22873124809352924,0.05058958188040008,2.0,71.0,31.0,True,False,False,False,False
99,representative_base,base_representative,quixbugs,quixbugs-python-find_in_sorted,quixbugs/quixbugs-python-find_in_sorted,base_representative,0.5599999999999999,0.6199999999999999,easy,0.15625,0.9875,0.24375,0.7625,16,0.84375,0.84375,0.340897253582366,-0.1183450335193759,0.3311825969086029,0.002766506794983137,2.0,61.0,18.0,True,False,False,False,False
100,representative_base,base_representative,medagentbench,task6_17,medagentbench/task6_17,base_representative,0.5589347826086957,0.6189347826086957,easy,0.25,1.0,0.021739130434782608,0.94,16,0.75,0.75,0.3640054944640259,-0.1773315512264354,0.3342567891693704,0.018231222866445407,1.0,69.0,17.0,True,False,False,False,False
101,representative_base,base_representative,usaco,1040,usaco/1040,base_representative,0.5519633838383837,0.6119633838383838,easy,0.26249999999999996,1.0,0.03535353535353535,0.85,16,0.7375,0.7375,0.410601692641421,0.463762678751754,0.370619160432306,0.00696824234660709,1.0,96.0,35.0,True,False,False,False,False
102,representative_base,base_representative,usaco,132,usaco/132,base_representative,0.5430530303030303,0.6030530303030304,easy,0.25,0.98989898989899,0.03535353535353535,0.835,16,0.75,0.75,0.4092676385936225,0.4731603576398959,0.3691101329829655,0.00696824234660709,2.0,97.0,37.0,True,False,False,False,False
103,representative_base,base_representative,ineqmath,63,ineqmath/63,base_representative,0.5301770833333332,0.5901770833333333,easy,0.09375,1.0,0.09895833333333333,0.88,16,0.90625,0.90625,0.2633171804117612,-0.0919276977187885,0.24712729198246206,0.0,1.0,90.0,26.0,True,False,False,False,False
104,representative_base,base_representative,mlgym,mlgym-battle-of-sexes,mlgym/mlgym-battle-of-sexes,base_representative,0.5256068948863637,0.5856068948863637,medium,0.5978821249999999,0.5,0.75,0.09090909090909091,16,0.402117875,0.402117875,0.1579735510670516,0.0274946185078259,0.10286548563800532,0.3488436200668539,2.0,1.0,2.0,True,False,False,False,False
105,representative_base,base_representative,bigcodebench,bigcodebench_879,bigcodebench/bigcodebench_879,base_representative,0.5181156296851575,0.5781156296851575,easy,0.23750000000000004,0.991304347826087,0.04782608695652174,0.6655172413793103,16,0.7625,0.7625,0.3018174116912409,-0.2031763989181895,0.2526926542522461,0.0499341676182512,2.0,111.0,62.0,True,False,False,False,False
106,representative_base,base_representative,sldbench,domain_mixture_scaling_law,sldbench/domain_mixture_scaling_law,base_representative,0.51185690625,0.5718569062500001,easy,0.18492762500000004,0.875,0.1875,0.75,16,0.815072375,0.815072375,0.2839530747464876,-0.0867785929802232,0.27189519358973885,0.07924439890847879,2.0,7.0,6.0,True,False,False,False,False
107,diverse_fill,difficult;unique_unpredictable;high_composite,algotune,algotune-firls,algotune/algotune-firls,difficult;unique_unpredictable;high_composite,0.8412283979286458,0.9212283979286459,hard,0.7191913750000001,0.8778625954198473,0.8206106870229007,0.9935064935064936,16,0.280808625,0.280808625,0.4094599884745875,0.1765854462890293,0.20231392826882108,0.2929288879005193,17.0,24.0,1.0,False,True,False,True,True
108,diverse_fill,difficult;unique_unpredictable;high_composite,arc-agi-2,97d7923e_0,arc-agi-2/97d7923e_0,difficult;unique_unpredictable;high_composite,0.8349340659340659,0.914934065934066,medium,0.7,0.9010989010989011,0.8021978021978022,0.96,16,0.3,0.3,0.4472135954999579,0.173205219692334,0.3762889231463,0.08384266509781069,10.0,19.0,2.0,False,True,False,True,True
109,diverse_fill,unique_unpredictable;high_composite,kumo,wildlifeenv-t4-a6-v1-s0,kumo/wildlifeenv-t4-a6-v1-s0,unique_unpredictable;high_composite,0.8472576530612245,0.8872576530612245,medium,0.5875,0.8928571428571429,0.951530612244898,1.0,16,0.4125,0.4125,0.4090767042988393,0.260359740917604,0.19178056954079747,0.2988348622071404,22.0,11.0,1.0,False,False,False,True,True
110,diverse_fill,difficult;unique_unpredictable;high_composite,reasoning-gym,reasoning-gym-games-knight-swap-easy00cea0a5-seed45-1,reasoning-gym/reasoning-gym-games-knight-swap-easy00cea0a5-seed45-1,difficult;unique_unpredictable;high_composite,0.789953886693017,0.8699538866930171,hard,0.7375,0.7549407114624506,0.8695652173913043,0.8263888888888888,16,0.2625,0.2625,0.3295356581616017,0.2056750005671828,0.15923169273612559,0.1843543341414352,125.0,67.0,5.0,False,True,False,True,True
111,diverse_fill,difficult;unique_unpredictable;high_composite,crmarena,crmarena_0241_monthly_trend_analysis,crmarena/crmarena_0241_monthly_trend_analysis,difficult;unique_unpredictable;high_composite,0.7867706185567012,0.8667706185567012,hard,0.7250000000000001,0.7422680412371134,0.8969072164948454,0.81,16,0.2749999999999999,0.2749999999999999,0.3152380053229623,0.2252416400572855,0.21934353454035455,0.2166005173335398,26.0,11.0,1.0,False,True,False,True,True
112,diverse_fill,unique_unpredictable;high_composite,humanevalfix,python-142,humanevalfix/python-142,unique_unpredictable;high_composite,0.812320143884892,0.8523201438848921,medium,0.35,0.9280575539568345,1.0,1.0,16,0.65,0.65,0.4031128874149275,0.2882308850285442,0.20890044238099417,0.3268871190779741,11.0,1.0,1.0,False,False,False,True,True
113,diverse_fill,unique_unpredictable;high_composite,bfcl,bfcl-live-multiple-196-88-0,bfcl/bfcl-live-multiple-196-88-0,unique_unpredictable;high_composite,0.8078117527498805,0.8478117527498805,medium,0.6125,0.8431372549019608,0.8627450980392157,0.959349593495935,16,0.3875,0.3875,0.4090767042988393,0.2445803255897872,0.13593832381414264,0.30924558931366486,17.0,15.0,2.0,False,False,False,True,True
114,diverse_fill,unique_unpredictable;high_composite,featurebench-modal,linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,featurebench-modal/linkedin__liger-kernel.c856fbab.test_fused_linear_jsd.4bd46945.lv1,unique_unpredictable;high_composite,0.8029326079326079,0.8429326079326079,medium,0.5,0.8961038961038961,0.8961038961038961,0.9351351351351351,16,0.5,0.5,0.4,0.1936493570028409,0.30021818013723023,0.21285158433408713,17.0,17.0,2.0,False,False,False,True,True
115,diverse_fill,unique_unpredictable;high_composite,swesmith,oauthlib__oauthlib.1fd52536.combine_file__dmfco3m9,swesmith/oauthlib__oauthlib.1fd52536.combine_file__dmfco3m9,unique_unpredictable;high_composite,0.7959611534487212,0.8359611534487212,medium,0.5375,0.8987341772151899,0.8860759493670886,0.8367346938775511,16,0.4625,0.4625,0.410601692641421,0.1650681337465737,0.2917292705646399,0.2809191281852712,9.0,10.0,1.0,False,False,False,True,True
116,diverse_fill,unique_unpredictable;high_composite,pixiu,pixiu-german-german000003,pixiu/pixiu-german-german000003,unique_unpredictable;high_composite,0.7917261557242183,0.8317261557242184,medium,0.44999999999999996,0.927710843373494,0.8313253012048193,0.9779735682819384,14,0.55,0.5285714285714286,0.4696937777935314,0.3205622107476354,0.2664954309191287,0.2605397772365803,7.0,15.0,2.0,False,False,False,True,True
117,diverse_fill,difficult;unique_unpredictable;high_composite,gpqa-diamond,17,gpqa-diamond/17,difficult;unique_unpredictable;high_composite,0.740356959424756,0.8203569594247561,hard,0.8,0.5649717514124294,0.864406779661017,0.8434343434343434,16,0.2,0.2,0.3605551275463989,0.1432230551866816,0.1367278521797525,0.25892466057069485,78.0,25.0,7.0,False,True,False,True,True
118,diverse_fill,difficult;unique_unpredictable;high_composite,replicationbench,trgb_std_candle__med_color_amp,replicationbench/trgb_std_candle__med_color_amp,difficult;unique_unpredictable;high_composite,0.7367009493670886,0.8167009493670887,hard,0.7125,0.6582278481012658,0.8227848101265823,0.8166666666666667,16,0.2875,0.2875,0.3739568825412898,0.1985047953386584,0.2619207618169831,0.20682691289209676,28.0,15.0,4.0,False,True,False,True,True
119,diverse_fill,unique_unpredictable;high_composite,aime,aime_81,aime/aime_81,unique_unpredictable;high_composite,0.7728891509433963,0.8128891509433963,medium,0.36250000000000004,0.9622641509433962,0.8018867924528302,0.9666666666666667,16,0.6375,0.6375,0.3689088640843426,0.446185675278969,0.2870334927226338,0.16634579726764598,3.0,11.0,1.0,False,False,False,True,True
120,diverse_fill,unique_unpredictable;high_composite,omnimath,omnimath_4118,omnimath/omnimath_4118,unique_unpredictable;high_composite,0.7718203642384105,0.8118203642384105,medium,0.6375,0.6754966887417219,0.9370860927152318,0.945,16,0.3625,0.3625,0.3822221212855163,-0.2955401091921617,0.1704234469236939,0.34964973898346674,50.0,11.0,2.0,False,False,False,True,True
121,diverse_fill,difficult;unique_unpredictable;high_composite,gaia2,gaia2-cli/0571_1k1ppcoxefgravh34lzycqi20saehz8r,gaia2/gaia2-cli/0571_1k1ppcoxefgravh34lzycqi20saehz8r,difficult;unique_unpredictable;high_composite,0.7313165222772278,0.8113165222772278,hard,0.734375,0.5846153846153846,0.8615384615384616,0.8514851485148515,16,0.265625,0.265625,0.3582591371828498,0.1914371926136394,0.21456860029125827,0.26106756277341625,28.0,10.0,1.0,False,True,False,True,True
122,diverse_fill,difficult;high_composite,swe-lancer,25929-manager-0,swe-lancer/25929-manager-0,difficult;high_composite,0.7623510638297871,0.8023510638297872,hard,0.775,0.8297872340425532,0.6117021276595744,0.835,16,0.225,0.225,0.3799671038392666,0.1528942307579034,0.2227908051574636,0.2251057486314938,17.0,37.0,3.0,False,True,False,False,True
123,diverse_fill,unique_unpredictable;high_composite,widesearch,widesearch/widesearch-ws-en-053,widesearch/widesearch/widesearch-ws-en-053,unique_unpredictable;high_composite,0.755848453125,0.7958484531250001,medium,0.4293938125000001,0.83,0.88,0.92,16,0.5706061874999999,0.5706061874999999,0.3392079539889982,-0.0489482173731649,0.2663356337037927,0.1878889075272402,18.0,13.0,1.0,False,False,False,True,True
124,diverse_fill,high_composite,aider-polyglot,polyglot_python_rest-api,aider-polyglot/polyglot_python_rest-api,high_composite,0.795545814479638,0.795545814479638,medium,0.5125,0.9773755656108597,0.7013574660633484,1.0,16,0.4875,0.4875,0.4897384506039933,0.2570188962731537,0.3723582122611212,0.10601140522341601,6.0,67.0,1.0,False,False,False,False,True
125,diverse_fill,unique_unpredictable;high_composite,livecodebench,arc182_e,livecodebench/arc182_e,unique_unpredictable;high_composite,0.7528856382978724,0.7928856382978724,medium,0.5375,0.7127659574468085,0.9361702127659575,0.9,16,0.4625,0.4625,0.378937659780603,0.3151363880873097,0.23269623860462627,0.2427005338121766,28.0,7.0,1.0,False,False,False,True,True
126,diverse_fill,unique_unpredictable;high_composite,seal0,2,seal0/2,unique_unpredictable;high_composite,0.7523081044754432,0.7923081044754432,medium,0.46875,0.8602150537634409,0.8064516129032258,0.8828828828828829,16,0.53125,0.53125,0.3979930118733242,-0.1743521339483148,0.28303534799270924,0.3074129429271295,14.0,19.0,2.0,False,False,False,True,True
127,diverse_fill,unique_unpredictable;high_composite,simpleqa,simpleqa-1451,simpleqa/simpleqa-1451,unique_unpredictable;high_composite,0.752099358974359,0.792099358974359,medium,0.4125,0.8102564102564103,0.8615384615384616,1.0,16,0.5875,0.5875,0.4498263553861645,-0.1219741855573413,0.26187400547018735,0.1717578509797819,38.0,28.0,1.0,False,False,False,True,True
128,diverse_fill,unique_unpredictable;high_composite,bigcodebench,bigcodebench_199,bigcodebench/bigcodebench_199,unique_unpredictable;high_composite,0.747751124437781,0.7877511244377811,medium,0.30000000000000004,0.9478260869565217,0.8695652173913043,0.8241379310344827,16,0.7,0.7,0.3674234614174767,0.3513643242479122,0.23187161002025708,0.3237780143979293,7.0,16.0,1.0,False,False,False,True,True
129,diverse_fill,unique_unpredictable;high_composite,usaco,436,usaco/436,unique_unpredictable;high_composite,0.7476616161616162,0.7876616161616162,medium,0.55,0.7474747474747475,0.8181818181818182,0.96,16,0.45,0.45,0.4444097208657794,0.2614468926182701,0.3007868675157159,0.11859967820323414,26.0,19.0,1.0,False,False,False,True,True
130,diverse_fill,unique_unpredictable;high_composite,dacode,dacode-plot-pie-012,dacode/dacode-plot-pie-012,unique_unpredictable;high_composite,0.7357456896551724,0.7757456896551724,medium,0.625,0.6489028213166145,0.8260188087774295,0.9725,14,0.375,0.3999999999999999,0.420883424647321,0.1131833947539663,0.2144890650720622,0.2192089160147287,113.0,57.0,1.0,False,False,False,True,True
131,diverse_fill,unique_unpredictable;high_composite,hle,hle/hle__673a76559e89466aa6433f66,hle/hle/hle__673a76559e89466aa6433f66,unique_unpredictable;high_composite,0.7339385012577784,0.7739385012577784,medium,0.55,0.6483516483516484,0.8901098901098901,0.9799196787148594,16,0.4499999999999999,0.4499999999999999,0.45,0.2581989926588531,0.27610661473590936,0.25173650582453455,65.0,21.0,1.0,False,False,False,True,True
132,diverse_fill,unique_unpredictable;high_composite,lawbench,lawbench-1-1-1-zero-shot,lawbench/lawbench-1-1-1-zero-shot,unique_unpredictable;high_composite,0.7333046353173454,0.7733046353173454,medium,0.4428531874999999,0.7290322580645161,0.9161290322580645,0.9226519337016574,16,0.5571468125000001,0.5571468125000001,0.3035797781109643,-0.0867430339148584,0.20075516201475416,0.11516899853333051,43.0,14.0,1.0,False,False,False,True,True
133,diverse_fill,unique_unpredictable;high_composite,medagentbench,task9_11,medagentbench/task9_11,unique_unpredictable;high_composite,0.7280797101449276,0.7680797101449276,medium,0.55,0.5652173913043478,0.9710144927536232,1.0,16,0.4499999999999999,0.4499999999999999,0.4092676385936225,0.2838963008148987,0.23437801657868218,0.19717222280142288,31.0,3.0,2.0,False,False,False,True,True
134,diverse_fill,high_composite,skillsbench,offer-letter-generator,skillsbench/offer-letter-generator,high_composite,0.7643674089068825,0.7643674089068825,medium,0.475,0.9384615384615385,0.6923076923076923,0.9605263157894737,16,0.525,0.525,0.4293891009329417,0.0751647718389501,0.33645377644636354,0.20978590687834953,5.0,21.0,1.0,False,False,False,False,True
135,diverse_fill,high_composite,labbench,figqa-0073,labbench/figqa-0073,high_composite,0.7603075188924875,0.7603075188924875,medium,0.65,0.8333333333333334,0.6494252873563219,0.9585635359116023,16,0.35,0.35,0.4387482193696061,0.2059715461709201,0.3379999529671216,0.14317551112468763,30.0,62.0,1.0,False,False,False,False,True
136,diverse_fill,high_composite,gaia,9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,gaia/9e1fc53b-46ff-49a1-9d05-9e6faac34cc5,high_composite,0.7570190359004052,0.7570190359004052,medium,0.5125,0.8853503184713376,0.6942675159235668,0.9696969696969697,16,0.4875,0.4875,0.4299345880479959,0.1726594050767057,0.31026189652373387,0.21588729520128513,19.0,49.0,1.0,False,False,False,False,True
137,diverse_fill,unique_unpredictable;high_composite,ineqmath,95,ineqmath/95,unique_unpredictable;high_composite,0.7156250000000001,0.7556250000000001,easy,0.17500000000000004,0.84375,0.90625,1.0,16,0.825,0.825,0.3031088913245535,-0.1490712031248557,0.23786644828070755,0.10465947328543412,16.0,10.0,1.0,False,False,False,True,True
138,diverse_fill,difficult;unique_unpredictable;high_composite,compilebench,coreutils-old-version-alpine,compilebench/coreutils-old-version-alpine,difficult;unique_unpredictable;high_composite,0.6749999999999999,0.755,medium,0.7,0.4,1.0,0.7333333333333333,16,0.3,0.3,0.3391164991562634,0.2284162043490282,0.16059126226966378,0.41844395575615345,10.0,1.0,2.0,False,True,False,True,True
139,diverse_fill,high_composite,qcircuitbench,phase_estimation-n8,qcircuitbench/phase_estimation-n8,high_composite,0.7539107075892857,0.7539107075892857,medium,0.6667856875,0.84,0.68,0.8214285714285714,16,0.3332143125,0.3332143125,0.3827637283509108,0.2228475159917609,0.2893478894423905,0.21724990438284497,5.0,9.0,1.0,False,False,False,False,True
140,diverse_fill,high_composite,gso,gso-numpy--numpy-28706af,gso/gso-numpy--numpy-28706af,high_composite,0.7510539215686274,0.7510539215686274,medium,0.575,0.8777777777777778,0.6444444444444445,0.9264705882352942,16,0.425,0.425,0.3992179855667828,0.0161691830759442,0.3283912272049028,0.15125085769447466,12.0,33.0,1.0,False,False,False,False,True
141,diverse_fill,high_composite,mmmlu,mmmlu-pt-br-00113,mmmlu/mmmlu-pt-br-00113,high_composite,0.7492386363636363,0.7492386363636363,medium,0.5375,0.9318181818181818,0.5909090909090909,0.94,16,0.4625,0.4625,0.4728570079844434,-0.0750804846886269,0.447484426508158,0.019626400728686932,10.0,55.0,1.0,False,False,False,False,True
142,diverse_fill,unique_unpredictable;high_composite,quixbugs,quixbugs-python-find_first_in_sorted,quixbugs/quixbugs-python-find_first_in_sorted,unique_unpredictable;high_composite,0.6993750000000001,0.7393750000000001,medium,0.44999999999999996,0.6375,0.8625,0.9875,16,0.55,0.55,0.4444097208657794,0.3195462323143302,0.2429594938910903,0.24542886125332797,30.0,12.0,1.0,False,False,False,True,True
143,diverse_fill,high_composite,strongreject,strongreject_illegal_goods_and_services_0034_pap_logical_appeal,strongreject/strongreject_illegal_goods_and_services_0034_pap_logical_appeal,high_composite,0.7299654737903226,0.7299654737903226,medium,0.41328125000000004,0.9354838709677419,0.6129032258064516,0.9733333333333334,16,0.58671875,0.58671875,0.3591295017447571,-0.2971318171872499,0.24791200123945448,0.14841528633484358,5.0,25.0,1.0,False,False,False,False,True
144,diverse_fill,high_composite,swebenchpro,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,swebenchpro/instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,high_composite,0.7257321428571428,0.7257321428571428,medium,0.5375,0.7142857142857143,0.7714285714285715,0.99,16,0.4625,0.4625,0.439992897669951,0.036676716233457,0.30915164087352404,0.2258397764967769,21.0,17.0,1.0,False,False,False,False,True
145,diverse_fill,difficult;high_composite,spider2,quickbooks003,spider2/quickbooks003,difficult;high_composite,0.6766493055555555,0.7166493055555555,hard,0.725,0.8888888888888888,0.2777777777777778,0.765625,16,0.275,0.275,0.3665719574653795,-0.088045287307707,0.31222097757541106,0.091172593863183,5.0,27.0,3.0,False,True,False,False,True
146,diverse_fill,high_composite,crustbench,crustbench-recordmanager,crustbench/crustbench-recordmanager,high_composite,0.7142499999999999,0.7142499999999999,medium,0.37187499999999996,0.9166666666666666,0.6197916666666666,0.97,14,0.628125,0.6035714285714286,0.4311381472809107,0.2390050903087944,0.33742482591334433,0.04324738473786105,9.0,38.0,1.0,False,False,False,False,True
